Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
68, P-SLICE,   68, 34.50,       6264, 0,0.00,28.000,40.291, 48.537, 48.800, 42.385, 0.941082, 12.298,0, 67 66 65 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.67%, 2.27%,  0.67%,  0.13%,  2.00%, 11.20%,  0.00%,  0.00%,  0.53%,  1.73%, 52.93%, 23.20%,  1.87%,  2.80%, 24898.24, 1810.58, 6322.66, 25579.36 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 98.76%,0.00%, 1.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.43%,0.00%, 0.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.55%,0.00%, 45.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.07%, 27.64%,0.00%, 34.96%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 7.0, 0.0, 15.0, 0.0, 61.0, 0.0, 21.0, 5.500, 99
69, P-SLICE,   69, 34.00,       6456, 0,0.00,28.000,40.288, 48.538, 48.818, 42.386, 0.941021, 12.293,0, 68 67 66 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.52%, 1.95%,  0.39%,  1.04%,  1.17%, 12.19%,  0.00%,  0.00%,  0.52%,  2.33%, 51.23%, 23.87%,  1.56%,  3.11%, 24923.17, 1806.76, 6327.69, 25565.22 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.25%,0.00%, 0.50%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.83%,0.00%, 1.56%, 2.60%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.00%,0.00%, 28.00%, 8.00%, 0.00%, 0.00%, 0.00%, 0.00%, 3.55%, 29.79%,0.00%, 36.17%, 30.50%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 59.0, 0.0, 21.0, 5.511, 60
70, P-SLICE,   70, 35.27,       1640, 0,0.00,28.000,40.292, 48.538, 48.818, 42.388, 0.941025, 12.293,0, 69 68 67 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.35%,  0.87%,  0.00%,  0.00%,  0.00%,  0.35%,  0.00%,  0.00%, 70.49%, 27.95%,  0.00%,  0.00%, 24883.49, 1806.48, 6339.10, 24919.31 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.51%,0.00%, 0.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.02%,0.00%, 2.98%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.0, 0.0, 12.0, 0.0, 69.0, 0.0, 17.0, 7.956, 174
71, P-SLICE,   71, 34.51,       6120, 0,0.00,28.000,40.289, 48.533, 48.832, 42.388, 0.941043, 12.295,0, 70 69 68 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.00%, 0.00%,  0.00%,  0.52%, 1.96%,  0.39%,  0.65%,  1.70%, 10.33%,  0.00%,  0.52%,  1.05%,  2.88%, 51.63%, 23.53%,  2.61%,  2.09%, 24918.01, 1805.02, 6325.96, 25661.70 , 18, 253, 117.59, 75, 150, 130.99, 89, 180, 129.21, 0.00%, 99.25%,0.00%, 0.50%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.35%,0.00%, 1.59%, 1.06%, 0.00%, 0.00%, 0.00%, 0.00%, 2.38%, 66.67%,0.00%, 23.81%, 7.14%, 0.00%, 0.00%, 0.00%, 0.00%, 3.31%, 31.40%,0.00%, 36.36%, 28.93%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 15.0, 0.0, 66.0, 0.0, 21.0, 5.427, 131
72, P-SLICE,   72, 34.48,       7848, 0,0.00,28.000,40.274, 48.538, 48.799, 42.372, 0.940856, 12.281,0, 71 70 69 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.75%, 2.00%,  0.37%,  0.62%,  1.87%, 12.73%,  0.00%,  0.87%,  0.50%,  2.25%, 49.31%, 21.72%,  3.25%,  3.75%, 24999.43, 1810.78, 6321.28, 25988.80 , 18, 253, 117.59, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.25%,0.00%, 0.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.31%,0.00%, 1.61%, 1.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 20.00%, 13.33%, 0.00%, 0.00%, 0.00%, 0.00%, 3.85%, 30.77%,0.00%, 28.85%, 36.54%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 19.0, 0.0, 64.0, 0.0, 23.0, 4.996, 121
73, P-SLICE,   73, 34.03,       6944, 0,0.00,28.000,40.278, 48.525, 48.813, 42.376, 0.940907, 12.285,0, 72 71 70 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.77%, 2.19%,  0.13%,  0.77%,  2.06%,  8.37%,  0.00%,  0.90%,  1.42%,  3.09%, 51.22%, 21.88%,  2.57%,  4.50%, 24981.73, 1810.83, 6322.04, 25789.23 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.75%,0.00%, 0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.72%,0.00%, 2.19%, 1.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.96%,0.00%, 19.15%, 14.89%, 0.00%, 0.00%, 0.00%, 0.00%, 5.34%, 45.04%,0.00%, 29.01%, 20.61%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 17.0, 0.0, 67.0, 0.0, 22.0, 5.204, 115
74, P-SLICE,   74, 34.52,       5992, 0,0.00,28.000,40.269, 48.533, 48.819, 42.371, 0.940856, 12.281,0, 73 72 71 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.39%, 1.44%,  0.26%,  0.26%,  1.31%, 12.60%,  0.00%,  0.26%,  0.52%,  0.79%, 52.62%, 21.92%,  1.84%,  5.77%, 25023.56, 1807.44, 6327.25, 25672.00 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.50%,0.00%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.83%,0.00%, 1.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.29%,0.00%, 28.57%, 7.14%, 0.00%, 0.00%, 0.00%, 0.00%, 2.01%, 33.56%,0.00%, 28.19%, 36.24%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 71.0, 0.0, 21.0, 5.300, 99
75, P-SLICE,   75, 33.70,       7144, 0,0.00,28.000,40.276, 48.527, 48.821, 42.375, 0.940812, 12.278,0, 74 73 72 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.12%,  0.00%,  0.37%, 1.37%,  0.12%,  1.00%,  1.49%, 10.95%,  0.00%,  0.50%,  0.50%,  1.00%, 49.00%, 23.13%,  3.86%,  6.59%, 24990.46, 1809.21, 6334.79, 25775.27 , 18, 253, 117.59, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.75%,0.00%, 0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.96%,0.00%, 2.53%, 1.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 74.47%,0.00%, 10.64%, 14.89%, 0.00%, 0.00%, 0.00%, 0.00%, 2.61%, 39.87%,0.00%, 27.45%, 30.07%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 17.0, 0.0, 61.0, 0.0, 23.0, 5.378, 57
76, P-SLICE,   76, 36.00,        736, 0,0.00,28.000,40.274, 48.527, 48.821, 42.374, 0.940781, 12.275,0, 75 74 73 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.17%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 71.38%, 28.45%,  0.00%,  0.00%, 25002.37, 1808.31, 6340.58, 25002.37 , 18, 253, 117.59, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.39%,0.00%, 0.61%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.0, 1.0, 12.0, 0.0, 68.0, 0.0, 17.0, 7.931, 166
77, P-SLICE,   77, 34.52,       6296, 0,0.00,28.000,40.273, 48.529, 48.811, 42.372, 0.940769, 12.274,0, 76 75 74 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.00%, 0.00%,  0.00%,  0.40%, 2.68%,  0.40%,  0.27%,  1.61%,  9.91%,  0.00%,  0.27%,  0.54%,  0.94%, 53.82%, 21.29%,  1.87%,  5.89%, 25012.12, 1810.46, 6333.26, 25714.72 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.26%,0.00%, 0.25%, 0.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.77%,0.00%, 0.00%, 1.23%, 0.00%, 0.00%, 0.00%, 0.00%, 3.23%, 58.06%,0.00%, 19.35%, 19.35%, 0.00%, 0.00%, 0.00%, 0.00%, 2.34%, 39.84%,0.00%, 28.91%, 28.91%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 17.0, 0.0, 60.0, 0.0, 22.0, 5.184, 126
78, P-SLICE,   78, 34.50,       7440, 0,0.00,28.000,40.259, 48.527, 48.819, 42.362, 0.940791, 12.276,0, 77 76 75 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.27%,  0.00%,  0.93%, 3.33%,  0.53%,  0.27%,  2.00%,  9.60%,  0.00%,  0.40%,  0.93%,  2.67%, 53.33%, 21.60%,  1.20%,  2.93%, 25103.17, 1809.65, 6337.40, 26274.18 , 18, 253, 117.60, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.01%,0.00%, 0.25%, 0.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.80%,0.00%, 0.00%, 1.20%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.61%,0.00%, 32.26%, 16.13%, 0.00%, 0.00%, 0.00%, 0.00%, 7.32%, 34.15%,0.00%, 34.15%, 24.39%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 17.0, 0.0, 61.0, 0.0, 23.0, 5.527, 62
79, P-SLICE,   79, 34.52,       7080, 0,0.00,28.000,40.260, 48.520, 48.810, 42.361, 0.940784, 12.276,0, 78 77 76 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 0.13%,  0.00%,  0.27%, 2.52%,  0.00%,  0.27%,  1.99%, 10.62%,  0.00%,  0.27%,  0.00%,  0.93%, 53.52%, 22.05%,  2.66%,  4.65%, 25075.66, 1812.25, 6338.39, 25991.12 , 18, 253, 117.59, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.82%,0.00%, 1.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.78%, 55.56%,0.00%, 22.22%, 19.44%, 0.00%, 0.00%, 0.00%, 0.00%, 2.40%, 33.60%,0.00%, 39.20%, 24.80%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 18.0, 0.0, 65.0, 0.0, 23.0, 5.156, 129
80, P-SLICE,   80, 34.05,       6952, 0,0.00,28.000,40.261, 48.530, 48.807, 42.363, 0.940738, 12.272,0, 79 78 77 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.80%, 2.01%,  0.27%,  0.40%,  2.54%, 10.44%,  0.00%,  1.07%,  0.67%,  0.94%, 53.41%, 22.22%,  2.81%,  2.41%, 25097.35, 1810.90, 6321.54, 25871.29 , 18, 253, 117.59, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.50%,0.00%, 0.25%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.31%,0.00%, 1.13%, 0.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 57.78%,0.00%, 24.44%, 17.78%, 0.00%, 0.00%, 0.00%, 0.00%, 5.50%, 22.94%,0.00%, 37.61%, 33.94%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 62.0, 0.0, 21.0, 5.318, 84
81, P-SLICE,   81, 34.53,       6976, 0,0.00,28.000,40.257, 48.524, 48.795, 42.358, 0.940696, 12.269,0, 80 79 78 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.77%, 2.32%,  0.13%,  0.51%,  1.29%, 11.07%,  0.00%,  1.03%,  1.42%,  2.45%, 51.22%, 22.39%,  1.42%,  3.99%, 25092.16, 1814.16, 6332.02, 25969.77 , 18, 253, 117.58, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.75%,0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.85%,0.00%, 1.61%, 0.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.75%,0.00%, 25.00%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%, 4.23%, 35.21%,0.00%, 33.80%, 26.76%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 1.0, 15.0, 0.0, 67.0, 0.0, 21.0, 5.309, 163
82, P-SLICE,   82, 36.00,        760, 0,0.00,28.000,40.255, 48.524, 48.795, 42.356, 0.940693, 12.269,0, 81 80 79 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.18%,  0.18%,  0.00%,  0.00%,  0.00%,  0.53%,  0.00%,  0.00%, 71.75%, 27.37%,  0.00%,  0.00%, 25097.70, 1814.19, 6340.04, 25097.70 , 18, 253, 117.58, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.76%,0.00%, 0.24%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.38%,0.00%, 0.62%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.0, 0.0, 13.0, 0.0, 61.0, 0.0, 18.0, 7.369, 182
83, P-SLICE,   83, 34.53,       7056, 0,0.00,28.000,40.256, 48.530, 48.788, 42.356, 0.940661, 12.267,0, 82 81 80 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.26%,  0.00%,  0.65%, 2.34%,  0.65%,  0.00%,  1.56%, 11.59%,  0.00%,  0.00%,  0.91%,  1.30%, 51.69%, 22.66%,  1.69%,  4.69%, 25180.78, 1814.73, 6349.59, 26017.87 , 18, 253, 117.58, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 98.76%,0.00%, 0.75%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.50%,0.00%, 28.12%, 9.38%, 0.00%, 0.00%, 0.00%, 0.00%, 4.93%, 32.39%,0.00%, 31.69%, 30.99%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 62.0, 0.0, 21.0, 5.516, 45
84, P-SLICE,   84, 34.03,       7440, 0,0.00,28.000,40.261, 48.532, 48.800, 42.362, 0.940713, 12.270,0, 83 82 81 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.25%, 2.25%,  0.62%,  0.37%,  0.62%, 13.61%,  0.00%,  0.12%,  0.00%,  1.75%, 49.56%, 20.97%,  3.25%,  6.62%, 25086.38, 1811.98, 6334.55, 25986.07 , 18, 253, 117.59, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 98.76%,0.00%, 0.50%, 0.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.26%,0.00%, 1.16%, 0.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.87%,0.00%, 9.68%, 6.45%, 0.00%, 0.00%, 0.00%, 0.00%, 1.12%, 37.64%,0.00%, 30.90%, 30.34%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 14.0, 0.0, 59.0, 0.0, 19.0, 5.333, 127
85, P-SLICE,   85, 34.53,       5952, 0,0.00,28.000,40.250, 48.525, 48.804, 42.354, 0.940617, 12.263,0, 84 83 82 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.79%, 1.32%,  0.26%,  0.26%,  1.05%, 11.46%,  0.00%,  0.53%,  0.79%,  3.29%, 52.70%, 22.40%,  1.45%,  3.56%, 25136.96, 1814.54, 6339.36, 25734.49 , 18, 253, 117.58, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.50%,0.00%, 0.25%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.86%,0.00%, 0.57%, 0.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.00%,0.00%, 16.00%, 16.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.79%, 35.62%,0.00%, 32.19%, 27.40%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 8.0, 0.0, 15.0, 0.0, 65.0, 0.0, 23.0, 5.604, 88
86, P-SLICE,   86, 34.06,       7160, 0,0.00,28.000,40.243, 48.517, 48.784, 42.345, 0.940457, 12.252,0, 85 84 83 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 0.26%,  0.00%,  0.65%, 1.82%,  0.26%,  0.52%,  1.17%, 13.02%,  0.00%,  0.26%,  0.00%,  0.00%, 51.82%, 23.05%,  2.47%,  4.56%, 25191.93, 1818.51, 6348.43, 26021.29 , 18, 253, 117.57, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.50%,0.00%, 0.25%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.81%,0.00%, 1.09%, 1.09%, 0.00%, 0.00%, 0.00%, 0.00%, 3.45%, 65.52%,0.00%, 20.69%, 10.34%, 0.00%, 0.00%, 0.00%, 0.00%, 4.93%, 24.65%,0.00%, 37.32%, 33.10%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 60.0, 0.0, 21.0, 5.349, 98
87, P-SLICE,   87, 33.99,       7200, 0,0.00,28.000,40.247, 48.516, 48.781, 42.347, 0.940479, 12.253,0, 86 85 84 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.76%, 2.66%,  0.38%,  0.63%,  0.89%, 13.05%,  0.00%,  0.63%,  0.76%,  0.89%, 50.32%, 21.80%,  1.77%,  5.45%, 25184.05, 1819.46, 6349.82, 26057.73 , 18, 253, 117.57, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.25%,0.00%, 0.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.25%,0.00%, 1.65%, 1.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 74.07%,0.00%, 14.81%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 3.77%, 31.45%,0.00%, 30.82%, 33.96%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 17.0, 0.0, 68.0, 0.0, 22.0, 5.133, 100
88, P-SLICE,   88, 35.50,       1104, 0,0.00,28.000,40.245, 48.516, 48.795, 42.347, 0.940451, 12.251,0, 87 86 85 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%,  0.85%,  0.00%,  0.00%,  0.00%,  0.51%,  0.00%,  0.00%, 68.54%, 29.93%,  0.00%,  0.00%, 25164.97, 1815.85, 6364.59, 25175.67 , 18, 253, 117.57, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.75%,0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.28%,0.00%, 1.63%, 1.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.0, 0.0, 13.0, 0.0, 70.0, 0.0, 17.0, 7.731, 155
89, P-SLICE,   89, 34.06,       6792, 0,0.00,28.000,40.240, 48.513, 48.763, 42.339, 0.940439, 12.250,0, 88 87 86 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 0.13%,  0.00%,  0.52%, 2.46%,  0.00%,  0.65%,  1.43%, 10.25%,  0.00%,  0.39%,  0.52%,  1.17%, 51.49%, 24.12%,  2.59%,  4.15%, 25189.70, 1824.40, 6352.45, 26048.08 , 18, 253, 117.58, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.42%,0.00%, 1.55%, 1.03%, 0.00%, 0.00%, 0.00%, 0.00%, 2.78%, 66.67%,0.00%, 16.67%, 13.89%, 0.00%, 0.00%, 0.00%, 0.00%, 4.00%, 32.80%,0.00%, 40.80%, 22.40%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 15.0, 0.0, 61.0, 0.0, 21.0, 5.271, 95
90, P-SLICE,   90, 34.18,       7600, 0,0.00,28.000,40.343, 48.498, 48.716, 42.409, 0.942062, 12.370,0, 89 88 87 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.50%, 2.75%,  0.50%,  0.37%,  1.62%, 13.36%,  0.00%,  0.12%,  0.87%,  2.87%, 49.56%, 21.35%,  2.12%,  4.00%, 24623.83, 1835.89, 6191.20, 25453.72 , 18, 253, 117.59, 75, 150, 131.02, 89, 180, 129.25, 0.00%, 99.00%,0.00%, 0.75%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.29%,0.00%, 1.14%, 0.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.86%,0.00%, 32.43%, 2.70%, 0.00%, 0.00%, 0.00%, 0.00%, 2.41%, 33.13%,0.00%, 43.98%, 20.48%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 16.0, 0.0, 61.0, 0.0, 22.0, 5.322, 65
91, P-SLICE,   91, 34.08,       6744, 0,0.00,28.000,40.333, 48.505, 48.741, 42.406, 0.941884, 12.357,0, 90 89 88 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.38%, 2.16%,  0.38%,  0.64%,  1.65%, 11.20%,  0.00%,  0.13%,  0.89%,  3.44%, 50.25%, 23.03%,  3.18%,  2.54%, 24669.12, 1829.96, 6218.80, 25570.36 , 18, 253, 117.62, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.25%,0.00%, 0.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.33%,0.00%, 2.14%, 0.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.11%,0.00%, 15.56%, 13.33%, 0.00%, 0.00%, 0.00%, 0.00%, 2.88%, 33.81%,0.00%, 37.41%, 25.90%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 15.0, 0.0, 64.0, 0.0, 20.0, 5.382, 114
